count,city,state,latitude,longitude
1,Akron,OH,41.0813889,-81.5191667
1,Alameda,CA,37.7652778,-122.2405556
1,Albany,OH,39.2275000,-82.2025000
1,Albuquerque,NM,35.0844444,-106.6505556
5,Alexandria,VA,38.8047222,-77.0472222
3,Ames,IA,42.0347222,-93.6197222
1,Amherst,MA,42.3802778,-72.5236111
1,Anchorage,AK,61.2180556,-149.9002778
1,Ankeny,IA,41.7297222,-93.6055556
11,Ann Arbor,MI,42.2708333,-83.7263889
1,Annapolis,MD,38.9783333,-76.4925000
1,Appleton,WI,44.2619444,-88.4152778
5,Arlington,VA,38.8902778,-77.0844444
4,Athens,GA,33.9608333,-83.3780556
42,Atlanta,GA,33.7488889,-84.3880556
24,Austin,TX,30.2669444,-97.7427778
11,Baltimore,MD,39.2902778,-76.6125000
1,Baton Rouge,LA,30.4505556,-91.1544444
4,Berkeley,CA,37.8716667,-122.2716667
1,Bethesda,MD,38.9805556,-77.1005556
4,Bethlehem,PA,40.6258333,-75.3708333
1,Billings,MT,45.7833333,-108.5000000
2,Blacksburg,VA,37.2294444,-80.4141667
1,Bloomington,IN,39.1652778,-86.5263889
2,Bluffton,SC,32.2369444,-80.8605556
1,Boise,ID,43.6136111,-116.2025000
42,Boston,MA,42.3583333,-71.0602778
2,Boulder,CO,40.0150000,-105.2700000
1,Brentwood,TN,36.0330556,-86.7827778
1,Bristol,CT,41.6716667,-72.9497222
1,Buffalo,NY,42.8863889,-78.8786111
1,Burlington,VT,44.4758333,-73.2125000
10,Cambridge,MA,42.3750000,-71.1061111
1,Camillus,NY,43.0391667,-76.3044444
4,Chapel Hill,NC,35.9130556,-79.0561111
1,Chappaqua,NY,41.1594444,-73.7652778
3,Charleston,SC,32.7763889,-79.9311111
5,Charlotte,NC,35.2269444,-80.8433333
1,Charlottesville,VA,38.0291667,-78.4769444
1,Chevy Chase,MD,38.9711111,-77.0766667
23,Chicago,IL,41.8500000,-87.6500000
9,Cincinnati,OH,39.1619444,-84.4569444
2,Cleveland,OH,41.4994444,-81.6955556
1,Clinton,MS,32.3413889,-90.3216667
4,College Park,MD,38.9805556,-76.9372222
6,Columbia,MO,38.9516667,-92.3338889
8,Columbus,OH,39.9611111,-82.9988889
2,Corpus Christi,TX,27.8002778,-97.3961111
1,Covington,KY,39.0836111,-84.5086111
1,Cresskill,NJ,40.9413889,-73.9597222
20,Dallas,TX,32.7833333,-96.8000000
1,Davidson,NC,35.4991667,-80.8488889
1,Dayton,OH,39.7588889,-84.1916667
1,Denton,TX,33.2147222,-97.1327778
23,Denver,CO,39.7391667,-104.9841667
10,Detroit,MI,42.3313889,-83.0458333
3,Durham,NC,35.9938889,-78.8988889
1,El Paso,TX,31.7586111,-106.4863889
4,Eugene,OR,44.0522222,-123.0855556
1,Evanston,IL,42.0411111,-87.6900000
